nconst,primaryName,birthYear,deathYear
nm0000005,Ingmar Bergman,1918,2007
nm0000008,Marlon Brando,1924,2004
nm0000010,James Cagney,1899,1986
nm0000019,Federico Fellini,1920,1993
nm0000024,John Gielgud,1904,2000
nm0000032,Charlton Heston,1923,2008
nm0000033,Alfred Hitchcock,1899,1980
nm0000036,Buster Keaton,1895,1966
nm0000040,Stanley Kubrick,1928,1999
nm0000041,Akira Kurosawa,1910,1998
nm0000056,Paul Newman,1925,2008
nm0000059,Laurence Olivier,1907,1989
nm0000071,James Stewart,1908,1997
nm0000076,François Truffaut,1932,1984
nm0000080,Orson Welles,1915,1985
nm0000086,Louis de Funès,1914,1983
nm0000087,Elena Koreneva,1953,
nm0000088,Aleksey Korenev,1927,1995
nm0000090,Armin Mueller-Stahl,1930,
nm0000091,Gérard Pirès,1942,
nm0000095,Woody Allen,1935,
nm0000097,Pamela Anderson,1967,
nm0000099,Patricia Arquette,1968,
nm0000108,Luc Besson,1959,
nm0000110,Kenneth Branagh,1960,
nm0000111,Matthew Broderick,1962,
nm0000114,Steve Buscemi,1957,
nm0000116,James Cameron,1954,
nm0000123,George Clooney,1961,
nm0000127,Wes Craven,1939,2015
nm0000128,Russell Crowe,1964,
nm0000130,Jamie Lee Curtis,1958,
nm0000141,David Duchovny,1960,
nm0000142,Clint Eastwood,1930,
nm0000146,Ralph Fiennes,1962,
nm0000149,Jodie Foster,1962,
nm0000154,Mel Gibson,1956,
nm0000166,Helen Hunt,1963,
nm0000169,Tommy Lee Jones,1946,
nm0000171,Ashley Judd,1968,
nm0000177,Kevin Kline,1947,
nm0000180,David Lean,1908,1991
nm0000184,George Lucas,1944,
nm0000185,Dolph Lundgren,1957,
nm0000186,David Lynch,1946,
nm0000199,Al Pacino,1940,
nm0000202,Ryan Phillippe,1974,
nm0000209,Tim Robbins,1958,
nm0000212,Meg Ryan,1961,
nm0000216,Arnold Schwarzenegger,1947,
nm0000217,Martin Scorsese,1942,
nm0000218,Kristin Scott Thomas,1960,
nm0000229,Steven Spielberg,1946,
nm0000231,Oliver Stone,1946,
nm0000240,Skeet Ulrich,1970,
nm0000243,Denzel Washington,1954,
nm0000247,John Woo,1946,
nm0000248,Edward D. Wood Jr.,1924,1978
nm0000249,James Woods,1947,
nm0000252,Robert Ellis,1892,1974
nm0000253,Robert Ellis,1888,1935
nm0000259,Ginger Lynn,1962,
nm0000261,Karen Allen,1951,
nm0000264,Pedro Almodóvar,1949,
nm0000265,Robert Altman,1925,2006
nm0000269,Jean-Jacques Annaud,1943,
